Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
FILTRO DE LINHA ELETRO G2 5 TOMADAS,FILTRO DE LINHA 5 TOMADAS,20,35,6,788115651149
S8 ULTRA PRO MAX - RELOGIO SMART,S8 ULTRA PRO MAX,120,200,6,7898070366392
CAM-7271 CAMERA DE SEGURANÇA,CAM-7271,70,100,6,7897473118102
LE-1804 MINI MOTOSERRA PORTÁTIL A BATERIA 6 POLEGADAS,LE-1804,180,250,7,7908125207485
LE-9014 500 AMP CABO DE CHUPETA AUTOMOTIVO,LE-9014 500AMP,25,40,7,7898605601462
WU-183 PISTOLA DE AGUA DE ALTA PRESSÃO BATERIA DE LÍTIO,WU-183,180,280,7,1000000140316
WU-182 PISTOLA DE AGUA DE ALTA PRESSAO BATERIA DE LITIO,WU-182,190,300,7,1000000141245
AM-8503 - MINI CAIXA DE SOM BLUETOOTH COM UM MICROFONE SEM FIO,AM-8503,85,130,7,7898823985030
LX-25110 - LIXEIRA DE AÇO INOX 5L,LX-25110,50,70,7,1000000703016
MD-12260 - CAIXA DE SOM ALTO FALANTE PORTÁTIL SEM FIO,MD-12260,190,270,7,7893095422375
PEI-M003 - CAIXA DE SOM SEM FIO BOLINHA PEINING,PEI-M003,20,30,7,8220230807121
KM-FON-6527 - KIT GAMER,KM-FON-6527,130,180,7,7893590428650
LILYMAX-0003/05/04/07/12/06 - CARREGADOR LILYMAX 6.1A V8,LILYMAX-0003,6,0,7,8923656057513
CAR-3236C - CARREGADOR RAPIDO INOVA TIPO C 4.8A,CAR-3236C,11,25,7,7899085711061
EXTENSÃO BARRA 5 METROS GROSSO 2P+P+T BRASFLEX,EXTENSÃO 5 METROS GROSSO,17,30,7,
SEL-8548 - BASTÃO DE SELFIE,SEL-8548,14,25,7,7893590428674
CBO-9866 - CABO IPH INOVA,CBO-9866,5,10,7,7899085125226
MIC-20439 - MICROFONE INOVA,MIC-20439,32,55,7,7893095423051
